DATE,PERMIT1
2015-03-01,658.0
2015-04-01,679.0
2015-05-01,701.0
2015-06-01,706.0
2015-07-01,700.0
2015-08-01,718.0
2015-09-01,711.0
2015-10-01,721.0
2015-11-01,730.0
2015-12-01,719.0
2016-01-01,720.0
2016-02-01,723.0
2016-03-01,737.0
2016-04-01,753.0
2016-05-01,748.0
2016-06-01,752.0
2016-07-01,720.0
2016-08-01,751.0
2016-09-01,752.0
2016-10-01,769.0
2016-11-01,770.0
2016-12-01,809.0
2017-01-01,790.0
2017-02-01,813.0
2017-03-01,824.0
2017-04-01,793.0
2017-05-01,795.0
2017-06-01,820.0
2017-07-01,818.0
2017-08-01,817.0
2017-09-01,830.0
2017-10-01,854.0
2017-11-01,860.0
2017-12-01,861.0
2018-01-01,854.0
2018-02-01,867.0
2018-03-01,848.0
2018-04-01,863.0
2018-05-01,860.0
2018-06-01,863.0
2018-07-01,885.0
2018-08-01,838.0
2018-09-01,857.0
2018-10-01,850.0
2018-11-01,847.0
2018-12-01,812.0
2019-01-01,798.0
2019-02-01,799.0
2019-03-01,809.0
2019-04-01,797.0
2019-05-01,831.0
2019-06-01,845.0
2019-07-01,863.0
2019-08-01,904.0
2019-09-01,905.0
2019-10-01,937.0
2019-11-01,951.0
2019-12-01,937.0
2020-01-01,967.0
2020-02-01,986.0
2020-03-01,873.0
2020-04-01,666.0
2020-05-01,747.0
2020-06-01,861.0
2020-07-01,1006.0
2020-08-01,1066.0
2020-09-01,1143.0
2020-10-01,1155.0
2020-11-01,1166.0
2020-12-01,1237.0
2021-01-01,1242.0
2021-02-01,1118.0
2021-03-01,1168.0
2021-04-01,1130.0
2021-05-01,1118.0
2021-06-01,1081.0
2021-07-01,1057.0
2021-08-01,1065.0
2021-09-01,1062.0
2021-10-01,1097.0
2021-11-01,1141.0
2021-12-01,1148.0
2022-01-01,1242.0
2022-02-01,1199.0
2022-03-01,1135.0
2022-04-01,1085.0
2022-05-01,1033.0
2022-06-01,948.0
2022-07-01,918.0
2022-08-01,885.0
2022-09-01,865.0
2022-10-01,850.0
2022-11-01,795.0
2022-12-01,748.0
2023-01-01,748.0
2023-02-01,796.0
2023-03-01,829.0
2023-04-01,856.0
2023-05-01,902.0
2023-06-01,924.0
2023-07-01,930.0
2023-08-01,948.0
2023-09-01,963.0
